"id","School.Name","2006","2007","2008","2009","2010","2011","2012","mean","grad.rate"
"0682-01-020","ROSEAU SECONDARY                   ",,0.3,0.47,0.2,0.27,0.41,0.29,0.32,0.92
"0690-01-030","WARROAD HIGH SCHOOL                ",0.3,0.38,0.52,0.48,0.48,0.38,0.26,0.4,0.82
"0700-01-020","HERMANTOWN SENIOR HIGH             ",0.31,0.29,0.31,0.29,0.38,0.28,0.26,0.3,0.93
"0701-01-350","HIBBING HIGH                       ",0.23,0.31,0.31,0.33,0.3,0.32,0.33,0.3,0.82
"0704-01-001","PROCTOR SENIOR HIGH                ",0.28,0.28,0.38,0.28,0.26,0.32,0.25,0.29,0.89
"0706-01-090","VIRGINIA SECONDARY                 ",0.21,0.16,0.2,0.2,0.31,0.19,0.34,0.23,0.9
"0709-01-215","DENFELD SENIOR HIGH                ",0.32,0.33,0.41,0.33,0.43,,0.33,0.36,0.84
"0709-01-220","EAST SENIOR HIGH                   ",0.19,0.22,0.25,0.19,0.24,0.2,0.18,0.21,0.9
"0716-01-020","BELLE PLAINE SENIOR HIGH           ",0.32,0.29,,0.21,0.35,0.41,0.23,0.3,0.93
"0717-01-127","JORDAN SECONDARY                   ",,0.22,0.3,0.28,0.22,0.33,,0.27,0.92
"0719-01-030","PRIOR LAKE HIGH SCHOOL             ",0.24,0.21,0.24,0.17,0.22,0.16,0.11,0.19,0.88
"0720-01-083","SHAKOPEE SENIOR HIGH               ",0.31,0.24,0.29,0.28,0.28,0.27,0.22,0.27,0.87
"0721-01-029","NEW PRAGUE SENIOR HIGH             ",0.21,0.26,0.18,0.16,0.17,0.18,0.18,0.19,0.92
"0726-01-020","BECKER SENIOR HIGH                 ",0.15,0.2,0.22,0.14,0.22,0.18,0.1,0.17,0.94
"0727-01-020","BIG LAKE SENIOR HIGH               ",0.3,0.36,0.34,0.33,0.3,0.28,0.18,0.3,0.88
"0728-01-500","ELK RIVER SENIOR HIGH              ",0.33,0.29,0.27,0.27,0.28,0.22,0.21,0.27,0.93
"0728-01-510","ROGERS SENIOR HIGH                 ",0.32,0.33,0.39,0.26,0.33,0.32,0.22,0.31,0.95
"0728-01-530","ZIMMERMAN HIGH SCHOOL              ",0.3,0.49,0.3,0.2,0.25,0.3,0.19,0.29,0.9
"0740-01-030","MELROSE SECONDARY                  ",0.18,0.15,0.2,0.25,0.33,0.28,0.26,0.24,0.97
"0742-01-057","APOLLO SENIOR HIGH                 ",0.19,0.27,0.24,0.34,0.22,0.3,0.2,0.25,0.84
"0742-01-059","TECHNICAL SENIOR HIGH              ",0.16,0.19,0.21,0.18,0.24,0.18,0.15,0.19,0.87
"0742-01-065","ST CLOUD AREA LEARNING CENTER      ",0.33,0.32,0.25,0.35,0.39,0.56,0.48,0.38,0.33
"0743-01-030","SAUK CENTRE SECONDARY              ",0.15,,,0.19,0.16,0.18,0.17,0.17,0.91
"0745-01-060","ALBANY SENIOR HIGH                 ",0.18,,0.22,0.25,0.17,0.11,,0.19,0.88
"0748-01-020","SARTELL SENIOR HIGH                ",0.15,0.17,0.22,0.15,0.11,0.12,0.09,0.14,0.93
"0750-01-050","ROCORI SENIOR HIGH                 ",0.2,0.1,0.24,0.15,0.22,0.18,0.16,0.18,0.93
"0761-01-150","OWATONNA SENIOR HIGH               ",0.29,0.34,0.35,0.32,0.33,0.24,0.25,0.3,0.9
"0813-01-040","LINCOLN SECONDARY                  ",0.31,0.29,0.34,0.3,0.37,0.23,0.38,0.32,0.95
"0829-01-050","WASECA SENIOR HIGH                 ",0.25,0.31,0.3,0.13,0.2,0.2,0.2,0.23,0.92
"0831-01-114","FOREST LAKE SENIOR HIGH            ",0.39,0.36,0.34,0.29,0.31,0.28,0.26,0.32,0.89
"0832-01-040","MAHTOMEDI SENIOR HIGH              ",0.24,0.25,0.24,0.17,0.15,0.16,0.1,0.19,0.97
"0833-01-024","PARK SENIOR HIGH                   ",0.28,0.36,0.37,0.34,0.3,0.25,0.28,0.31,0.95
"0833-01-025","EAST RIDGE HIGH SCHOOL             ",,,,,,0.23,0.21,0.22,0.95
"0833-01-029","WOODBURY SENIOR HIGH               ",0.29,0.18,0.26,0.24,0.27,0.29,0.19,0.25,0.95
"0834-01-047","STILLWATER AREA HIGH SCHOOL        ",0.28,0.28,0.27,0.27,0.23,0.18,0.18,0.24,0.92
"0861-01-007","WINONA SENIOR HIGH                 ",0.11,0.25,0.35,0.26,0.37,0.39,0.38,0.3,0.92
"0876-01-003","ANNANDALE SENIOR HIGH              ",0.3,0.15,0.14,0.19,0.18,0.22,0.2,0.2,0.9
"0877-01-040","BUFFALO SENIOR HIGH                ",0.29,0.28,0.26,0.28,0.33,0.26,0.2,0.27,0.92
"0879-01-020","DELANO SENIOR HIGH                 ",0.19,0.18,0.2,0.21,0.18,0.19,0.12,0.18,0.94
"0882-01-020","MONTICELLO SENIOR HIGH             ",0.24,0.24,0.36,0.33,0.21,0.22,0.17,0.25,0.96
"0883-01-001","ROCKFORD SECONDARY                 ",0.17,0.28,0.25,0.32,0.35,0.4,0.18,0.28,0.77
"0885-01-020","ST. MICHAEL-ALBERTVILLE SENIOR HIGH",0.29,0.31,0.34,0.31,0.26,0.24,0.13,0.27,0.96
"0911-01-350","CAMBRIDGE-ISANTI HIGH SCHOOL       ",0.32,0.3,0.3,0.32,0.3,0.28,0.15,0.28,0.89
"0912-01-030","MILACA SECONDARY HIGH              ",0.16,0.21,0.18,0.22,0.21,0.19,0.16,0.19,0.92
"0917-06-071","DAKOTA CTY. ALC                    ",0.45,0.69,0.48,0.38,,,,0.5,0.29
"1000-70-010","PERPICH CENTER FOR ARTS EDUCATION  ",,0.17,,,,0.17,,0.17,1
"2135-01-020","MAPLE RIVER SENIOR HIGH            ",0.33,0.27,0.26,0.18,0.26,0.38,0.37,0.29,0.88
"2144-01-004","CHISAGO LAKES SENIOR HIGH          ",0.23,0.29,0.24,0.27,0.2,0.28,0.18,0.24,0.92
"2149-01-050","MINNEWASKA SECONDARY               ",,0.19,0.17,,0.21,0.22,,0.2,0.84
"2155-01-001","WADENA-DEER CREEK SENIOR HIGH      ",0.21,,0.26,0.22,0.33,0.25,0.25,0.25,0.76
"2170-01-040","STAPLES-MOTLEY SENIOR HIGH         ",0.25,,,,,0.19,,0.22,0.79
"2310-01-003","SIBLEY EAST-ARLINGTON SENIOR HIGH  ",0.21,0.27,0.25,0.18,0.3,0.21,,0.24,0.95
"2397-01-020","LE SUEUR-HENDERSON HIGH SCHOOL     ",0.22,0.47,0.2,0.24,0.28,0.22,0.2,0.26,0.97
"2689-01-008","PIPESTONE SENIOR HIGH              ",,0.22,,,,,,0.22,0.87
"2752-01-060","FAIRMONT HIGH                      ",0.2,,0.18,0.24,0.25,0.24,,0.22,0.91
"2753-01-020","LONG PRAIRIE-GREY SENIOR HIGH      ",0.21,0.17,,,,,,0.19,0.75
"2805-01-002","ZUMBROTA-MAZEPPA SENIOR HIGH       ",0.29,0.29,0.32,0.3,0.35,0.34,0.33,0.32,0.88
"2853-01-040","LAC QUI PARLE VALLEY SECONDARY     ",0.2,0.24,0.31,0.26,0.29,0.37,,0.28,0.9
"2859-01-060","GLENCOE-SILVER LAKE SENIOR HIGH    ",0.22,0.27,0.31,0.21,0.27,0.25,0.34,0.27,0.93
"2860-01-020","BLUE EARTH AREA SENIOR HIGH        ",0.3,0.27,0.21,0.3,0.3,,,0.28,0.84
"2895-01-113","JACKSON COUNTY CENTRAL SENIOR HIGH ",0.2,0.22,0.2,,0.27,,,0.22,0.96
"2897-01-001","REDWOOD VALLEY SENIOR HIGH         ",0.26,0.28,0.2,0.25,0.27,0.35,0.34,0.28,0.85
"2899-01-040","PLAINVIEW-ELGIN-MILLVILLE HIGH     ",,0.28,0.42,0.44,0.41,0.24,0.31,0.35,0.91
"4000-07-010","CITY ACADEMY                       ",,,0.76,0.7,0.84,0.72,0.58,0.72,0.64
"4017-07-014","VIRTUAL HIGH SCHOOL                ",,,,0.35,0.4,0.43,0.32,0.38,0.19
"4017-07-015","MINNESOTA TRANSITIONS ALP          ",,0.67,0.42,0.57,0.58,0.59,0.55,0.56,0.12
"4082-07-010","BLUESKY CHARTER SCHOOL             ",,0.57,0.39,0.48,0.41,0.46,,0.46,0.18
