"district","school","id","year","grads","college","mncollege","remedial"
"Becker Public School District","BECKER SENIOR HIGH","0726-01-020",2006,136,101,74,11
"Becker Public School District","BECKER SENIOR HIGH","0726-01-020",2007,156,126,93,19
"Becker Public School District","BECKER SENIOR HIGH","0726-01-020",2008,170,138,101,22
"Becker Public School District","BECKER SENIOR HIGH","0726-01-020",2009,192,153,107,15
"Becker Public School District","BECKER SENIOR HIGH","0726-01-020",2010,165,128,100,22
"Becker Public School District","BECKER SENIOR HIGH","0726-01-020",2011,182,138,111,20
"Becker Public School District","BECKER SENIOR HIGH","0726-01-020",2012,182,141,119,12
"Belgrade-Brooten-Elrosa Public School District","BELGRADE-BROOTEN-ELROSA SEC.","2364-01-002",2006,56,46,38,11
"Belgrade-Brooten-Elrosa Public School District","BELGRADE-BROOTEN-ELROSA SEC.","2364-01-002",2007,47,36,25,"fewer than 10"
"Belgrade-Brooten-Elrosa Public School District","BELGRADE-BROOTEN-ELROSA SEC.","2364-01-002",2008,63,52,41,11
"Belgrade-Brooten-Elrosa Public School District","BELGRADE-BROOTEN-ELROSA SEC.","2364-01-002",2009,60,51,45,"fewer than 10"
"Belgrade-Brooten-Elrosa Public School District","BELGRADE-BROOTEN-ELROSA SEC.","2364-01-002",2010,57,40,29,"fewer than 10"
"Belgrade-Brooten-Elrosa Public School District","BELGRADE-BROOTEN-ELROSA SEC.","2364-01-002",2011,53,41,31,13
"Belgrade-Brooten-Elrosa Public School District","BELGRADE-BROOTEN-ELROSA SEC.","2364-01-002",2012,58,37,28,"fewer than 10"
"Belle Plaine Public School District","BELLE PLAINE SENIOR HIGH","0716-01-020",2006,94,74,63,20
"Belle Plaine Public School District","BELLE PLAINE SENIOR HIGH","0716-01-020",2007,118,95,77,22
"Belle Plaine Public School District","BELLE PLAINE SENIOR HIGH","0716-01-020",2008,102,78,59,"fewer than 10"
"Belle Plaine Public School District","BELLE PLAINE SENIOR HIGH","0716-01-020",2009,115,91,82,17
"Belle Plaine Public School District","BELLE PLAINE SENIOR HIGH","0716-01-020",2010,100,85,71,25
"Belle Plaine Public School District","BELLE PLAINE SENIOR HIGH","0716-01-020",2011,99,79,59,24
"Belle Plaine Public School District","BELLE PLAINE SENIOR HIGH","0716-01-020",2012,104,75,53,12
"Bemidji Public School District","BEMIDJI AREA LEARNING CENTER","0031-01-170",2006,29,11,11,"fewer than 10"
"Bemidji Public School District","BEMIDJI AREA LEARNING CENTER","0031-01-170",2007,21,"fewer than 10","fewer than 10","fewer than 10"
"Bemidji Public School District","BEMIDJI AREA LEARNING CENTER","0031-01-170",2008,32,"fewer than 10","fewer than 10","fewer than 10"
